benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
DAG_RANDOM_WALK,Matryoshka_4,0,8.05466,5.98266,0,0.83901046875,0.7765179449027808,0.9049805402755737,0.9907407407407407,0.6170124411582947,0.7507556676864624,0.6615118980407715,0.9942547678947449,Matryoshka,6,3-level
DAG_RANDOM_WALK,Matryoshka_5,0,8.05544,6.99805,0,0.84350859375,0.78346903072383,0.8934721946716309,0.9876543209876543,0.5462563633918762,0.7541318535804749,0.6124187707901001,0.9924108982086182,Matryoshka,7,3-level
DAG_RANDOM_WALK,Matryoshka_6,0,8.07236,7.99328,0,0.84697734375,0.7896102980458666,0.8842658400535583,0.9876543209876543,0.5190176367759705,0.7527419924736023,0.5899566411972046,0.9907087087631226,Matryoshka,8,3-level
DAG_RANDOM_WALK,Matryoshka_7,0,8.06697,8.9736,0,0.849761328125,0.7925966102681445,0.8743141293525696,0.9737654320987654,0.47547683119773865,0.7499232292175293,0.5569578409194946,0.9890709519386292,Matryoshka,9,3-level
DAG_RANDOM_WALK,Matryoshka_8,0,8.06001,10.02035,0,0.851614140625,0.7961308161413363,0.8691651225090027,0.9691358024691358,0.45774295926094055,0.7512803077697754,0.5397078990936279,0.9874556660652161,Matryoshka,10,3-level
DAG_RANDOM_WALK,Matryoshka_9,0,8.05006,10.97231,0,0.855126875,0.7989147850949654,0.8619993329048157,0.9753086419753086,0.45638248324394226,0.753658652305603,0.5374122262001038,0.986336886882782,Matryoshka,11,3-level
HIERARCHICAL_PAIRS,Matryoshka_0,0,8.00812,1.99745,105,1.1577112586755858,0.6640026708946328,0.7401646375656128,0.8796296296296297,0.8257779479026794,0.3835749328136444,0.51768958568573,0.9811050891876221,Matryoshka,2,3-level
HIERARCHICAL_PAIRS,Matryoshka_1,0,8.01479,3.00586,97,0.862756965654607,0.7839212543216854,0.7628344297409058,0.9629629629629629,0.8343052864074707,0.5343525409698486,0.6491595506668091,0.9922040104866028,Matryoshka,3,3-level
HIERARCHICAL_PAIRS,Matryoshka_2,0,7.99983,3.98568,0,0.9149916422703398,0.8647089651041562,0.8416270613670349,0.9891975308641975,0.9219368696212769,0.6773442625999451,0.777174174785614,0.9952293634414673,Matryoshka,4,3-level
HIERARCHICAL_PAIRS,Matryoshka_3,0,7.99077,4.9854,0,0.9981275742126676,0.8928465920420845,0.8421589732170105,0.9891975308641975,0.8736281991004944,0.7592726349830627,0.8092234134674072,0.9958721399307251,Matryoshka,5,3-level
