benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
SPARSE_UNIFORM,Standard_9,0,8.01698,3.88546,0,0.42323743092713906,0.4282104360605592,0.7870321869850159,0.7067901234567902,0.9791584014892578,0.49795928597450256,0.6387410759925842,0.9864100813865662,Standard,0.85
SPHERICAL,Standard_0,0,8.06427,17.1432,0,0.8499233029047304,0.9188885293578919,0.7961369156837463,1.0,0.23660825192928314,0.9254457354545593,0.3736949861049652,0.9788438677787781,Standard,0.035
SPHERICAL,Standard_1,0,8.05507,12.65673,0,0.8391100257223785,0.912837865852528,0.799628734588623,1.0,0.3019833266735077,0.9122082591056824,0.4507385194301605,0.985599160194397,Standard,0.045
SPHERICAL,Standard_10,0,8.06024,4.20532,0,0.7363661363226814,0.8679403619510868,0.7884769439697266,1.0,0.7674153447151184,0.7916110157966614,0.776947557926178,0.9971402883529663,Standard,0.16
SPHERICAL,Standard_11,0,8.05178,3.87176,0,0.7149022798246404,0.8567039606461464,0.7825177907943726,1.0,0.8043704628944397,0.7651638984680176,0.7815743684768677,0.9973186254501343,Standard,0.185
SPHERICAL,Standard_12,0,8.06686,3.63038,0,0.6915525623348414,0.845864440586683,0.7785574197769165,1.0,0.8317320346832275,0.7408190369606018,0.7808341979980469,0.9973962306976318,Standard,0.21
SPHERICAL,Standard_13,0,8.05546,3.39469,0,0.6683907873400997,0.8346372364363326,0.7739593386650085,1.0,0.8559266924858093,0.7143146991729736,0.7758663892745972,0.9974238276481628,Standard,0.24
SPHERICAL,Standard_14,0,8.05255,3.14278,0,0.6363615213436302,0.8170115701602334,0.7666192054748535,0.9984567901234568,0.8807086944580078,0.6808638572692871,0.7650319933891296,0.997400164604187,Standard,0.275
SPHERICAL,Standard_15,0,8.07594,2.91203,0,0.6067650454272413,0.7962275483685252,0.7636489272117615,0.9984567901234568,0.9031985402107239,0.6447797417640686,0.7485851049423218,0.9973106980323792,Standard,0.315
SPHERICAL,Standard_2,0,8.06344,10.22833,0,0.8290117283688014,0.9076783062469543,0.7984034419059753,1.0,0.3647923767566681,0.8999471664428711,0.5162408351898193,0.9891912937164307,Standard,0.055
